repo,sha,date,author,at_snapshot,subject
aiohttp,edc1cc2ba1d571c2f53db9e11e190aa7bde7f634,2026-05-16 12:34:16 -0700,aio-libs bot,True,Bump benchmark CI job timeout to 15 minutes (#12565)
aiohttp,2c459116859d19bf4ef79f15fea71766291ccb1c,2026-05-16 13:02:25 -0700,patchback[bot],False,[PR #12565/edc1cc2b backport][3.13] Bump benchmark CI job timeout to 15 minutes (#12566)
aiohttp,1474536b8026d34d27feae9c30ee9883a002c4fa,2026-05-16 13:02:36 -0700,patchback[bot],False,[PR #12565/edc1cc2b backport][3.14] Bump benchmark CI job timeout to 15 minutes (#12567)
celery,5c1a13cffe0331391bf8bc808196a1573f8922ad,2025-05-09 21:33:07 +0300,Yonatan Bitton,True,Support apply_async without queue argument on quorum queues (#9686)
celery,2a030962ed36b8433a877032e1baf867f6468c70,2025-06-24 07:39:08 +0200,Diego Margoni,True,fix: (#9773) task_id must not be empty with chain as body of a chord (#9774)
celery,dd4cf64a02d887e9425ec7d822bb623b8a88abf2,2025-06-25 00:07:38 -0300,Lucas Infante,True,Adds integration test for chord_unlock bug when routed to quorum/topic queue (#9766)
celery,de104a2fce76a8949012493b83da48daaa6d0247,2025-06-25 13:20:36 -0300,Lucas Infante,True,Add xfail test for default queue/exchange fallback ignoring task_default_* settings (#9765)
celery,63c1910221d9fb8c1931ff62c80c4c37232b2d58,2025-11-17 23:40:22 +0200,Tomer Nosrati,True,Don't fail task on timeout during cold shutdown (#9678)
celery,333a82f746734151c5cbe848916085455b0a3748,2026-01-04 14:11:56 +0200,Tomer Nosrati,True,Bugfix: Revoked tasks now immediately update backend status to REVOKED (#9869)
celery,203f8b89f8143a3f12646db6d4a690bc04693137,2026-02-11 10:56:05 +0100,Isabelle COWAN-BERGMAN,True,fix: source install of cassandra-driver (#10105)
celery,6b20dcd2d16b360bb4c4c7bf01a2c0c72b204517,2026-03-08 11:25:40 +0800,ChickenBenny,True,Fix #6912 rpc backend reconnection error (#10179)
celery,1b40d93679ad9ba00541c6a076c34db266f7fbc4,2026-08-08 08:47:41 -0400,goingforstudying-ctrl,False,RPC result backend recirculates final results on every state poll (#10459)
fastapi,faee822574d3c202123f48eb09b9bd207385335b,2026-02-17 01:59:14 -0800,SebastiÃ¡n RamÃ­rez,True,ðŸŽ¨ Upgrade typing syntax for Python 3.10 (#14932)
fastapi,31bbb380748ccead62fc0f42dbf4273f11dadccf,2026-03-16 11:16:48 +0100,Ahsan Sheraz,True,ðŸ“ Fix duplicated words in docstrings (#15116)
fastapi,4f0152c0286709c51457054f29e90070aef9d47e,2026-07-28 20:38:21 +0530,Saurabh Vijay Salve,False,ðŸ“ Add API reference page for fastapi.sse (#15930)
