repo,error,snapshot_sha,snapshot_date,adoption_date_at_snapshot,config_date_at_snapshot,config_file_at_snapshot,commits_at_snapshot,attributed_at_snapshot,first_attributed_at_snapshot,first_sha_at_snapshot,first_subject_at_snapshot,top_author_at_snapshot,top_author_count_at_snapshot,commits_all_refs,attributed_all_refs,first_attributed_all_refs,first_sha_all_refs,first_subject_all_refs,top_author_all_refs,top_author_count_all_refs
aiohttp,,348f0a1ed2887662822a44ca0f6ec0668aa292da,2026-05-18,2026-05-16,2026-05-17,CLAUDE.md,13338,1,2026-05-16 12:34:16 -0700,edc1cc2ba1d571c2f53db9e11e190aa7bde7f634,Bump benchmark CI job timeout to 15 minutes (#12565),aio-libs bot,1,14164,3,2026-05-16 12:34:16 -0700,edc1cc2ba1d571c2f53db9e11e190aa7bde7f634,Bump benchmark CI job timeout to 15 minutes (#12565),patchback[bot],2
celery,,8dace6d94b7714db4c677ccea824bc5fee1fdede,2026-05-13,2025-05-09,2025-08-26,.github/copilot-instructions.md,13092,8,2025-05-09 21:33:07 +0300,5c1a13cffe0331391bf8bc808196a1573f8922ad,Support apply_async without queue argument on quorum queues (#9686),Tomer Nosrati,2,13332,9,2025-05-09 21:33:07 +0300,5c1a13cffe0331391bf8bc808196a1573f8922ad,Support apply_async without queue argument on quorum queues (#9686),Tomer Nosrati,2
click,,4e869f3a172a58df077932dc80b130cdf4ba9774,2026-05-18,,,,3152,0,,,,,0,3374,0,,,,,0
django,,3e4e0db66961a48a080ff3ff91f6c0d954261366,2026-05-11,2026-03-05,2026-03-05,.github/copilot-instructions.md,34597,0,,,,,0,34948,0,,,,,0
fastapi,,53415286238a599c5266065477bb6b2ec7ff35ec,2026-05-18,2026-02-17,,,7156,2,2026-02-17 01:59:14 -0800,faee822574d3c202123f48eb09b9bd207385335b,🎨 Upgrade typing syntax for Python 3.10 (#14932),Ahsan Sheraz,1,7713,3,2026-02-17 01:59:14 -0800,faee822574d3c202123f48eb09b9bd207385335b,🎨 Upgrade typing syntax for Python 3.10 (#14932),Saurabh Vijay Salve,1
flask,,954f5684e4841aad84a8eec7ace7b81a0d3f6831,2026-05-18,,,,5538,0,,,,,0,5557,0,,,,,0
httpx,,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,2026-02-23,,,,1523,0,,,,,0,1523,0,,,,,0
numpy,,d5b13bfcc37b1ce8948e096b0a6123eb472cd797,2026-05-19,2025-10-10,,,41216,12,2025-10-10 16:50:23 +0530,47db4f1b0a7dba2f1808e0d812a9e7b30747520b,Update doc/release/upcoming_changes/29009.expiring.rst,Joren Hammudoglu,4,42167,24,2025-10-10 16:50:23 +0530,47db4f1b0a7dba2f1808e0d812a9e7b30747520b,Update doc/release/upcoming_changes/29009.expiring.rst,Pieter Eendebak,13
pandas,,766ab5312de3a8a386b7e6df7f8758575af99bbd,2026-05-18,2025-12-14,,,38026,386,2025-12-14 00:50:13 +0800,04a554c9f17bdc06e152e3e9250c40dbaf523897,BUG: Add logical operators to pd.col Expression class (#63330),jbrockmendel,379,39081,1067,2025-12-14 00:50:13 +0800,04a554c9f17bdc06e152e3e9250c40dbaf523897,BUG: Add logical operators to pd.col Expression class (#63330),jbrockmendel,1033
pydantic,,7c3468c56beb1e04580863fd06e2ca5232763995,2026-05-16,2026-03-08,,,5513,1,2026-03-08 21:10:32 +0000,af85f64e9a88ac236e0252de63840f0059c83ac2,Add Capital One to 'Who is using Pydantic' (#12903),Lais Carvalho,1,5746,4,2026-03-08 21:10:32 +0000,af85f64e9a88ac236e0252de63840f0059c83ac2,Add Capital One to 'Who is using Pydantic' (#12903),Bill Easton,1
pytest,,28d9c65a61e7bdfef7bf726625215f27a624b94b,2026-05-18,2026-01-17,,,17342,9,2026-01-17 17:08:05 +0100,e7ff0f6e7b6ba65bd3f9ac4d6119f14601cb3408,cacheprovider: simplify cache directory creation,Ronny Pfannschmidt,9,17781,132,2025-04-11 21:25:24 +0200,33ebdb1ab1e795a4943eda4f8f6c08c2acf166dd,fix #6881: add parametrize_long_str_id_strategy ini option,Ronny Pfannschmidt,68
requests,,cd90742ed94d901759e26766197d0ce7c7bd9c8e,2026-05-18,2026-03-02,,,6467,1,2026-03-02 17:49:19 -0500,b2a1d33f571518ca9a6148e7da787cc5827f897a,Increase chardet upper limit to 8,Dan Blanchard,1,6495,1,2026-03-02 17:49:19 -0500,b2a1d33f571518ca9a6148e7da787cc5827f897a,Increase chardet upper limit to 8,Dan Blanchard,1
scrapy,,55c17a89858e72c2e85391b1db3bbb2ba6c77360,2026-05-18,2026-02-20,,,11114,1,2026-02-20 16:36:26 +0200,da1a6b7ebca5fc7d35458d821c93331e9080e993,Add security warning about pickle files in JOBDIR (#7274),Yuval Elbar,1,11511,5,2026-02-20 16:36:26 +0200,da1a6b7ebca5fc7d35458d821c93331e9080e993,Add security warning about pickle files in JOBDIR (#7274),Adnan Awan,2
sqlalchemy,,cb3e0ccbe372cb12a103115618c01ac3c1f2c8b7,2026-05-18,,,,18052,0,,,,,0,18324,0,,,,,0
tornado,,4d892393adb0a434baeaa98a427d23c6c459a4bc,2026-05-12,,,,5019,0,,,,,0,5133,33,2026-09-05 22:05:19 +0000,15f056080d8e456f92cca8ad0c33e5a5480414ac,curl_httpclient: Bound memory used by streaming_callback,Claude,33
