repo,date,commit,is_post,n_files,n_files_pos_fanin,frac_leaves,max_fanin,mean_fanin,gini,entropy_norm,r2_powerlaw,r2_lognormal,aic_powerlaw,aic_lognormal,bic_powerlaw,bic_lognormal,delta_aic,lognormal_wins,vuong_z,vuong_p,lognormal_coeff_c
pydantic,2024-03-01,4fed81b8b999fcb87f38aebb79316d21a82345e7,False,285,82,0.712280701754386,229.0,3.017543859649123,0.8991187270501837,0.7758103756948477,0.9134205501445167,0.9523679459993,-175.8463039227831,-222.84594100898119,-171.0328654282546,-215.6257832671884,46.99963708619808,True,2.6556110491205254,0.007916572150802992,-0.1931827837433226
pydantic,2024-04-01,8128821b864db533b7c5c0c75589777c10d5cda7,False,295,82,0.7220338983050848,239.0,2.9694915254237286,0.9035910533240461,0.7706106004960597,0.9134421258052647,0.9505406390217193,-175.6286886854865,-219.52096563362684,-170.815250190958,-212.3008078918341,43.892276948140335,True,2.568685975021178,0.01020854803749427,-0.18881559217943644
pydantic,2024-05-01,4d7bef62aeff10985fe67d13477fe666b13ba070,False,295,82,0.7220338983050848,241.0,3.013559322033898,0.9028769708871138,0.7721582363648075,0.9087284053696207,0.9458629091686749,-171.48331126604134,-212.31355695545327,-166.66987277151284,-205.09339921366052,40.830245689411925,True,2.5812483077318675,0.009844435422804443,-0.18867372098449176
pydantic,2024-06-01,00ff77ed37589d924d3c10e0d5a48a7ef679a0d7,False,296,82,0.722972972972973,242.0,3.0236486486486487,0.9034538728672807,0.7720627903957223,0.9091096846880358,0.9464983968135773,-171.31159966587973,-212.7668300312902,-166.49816117135123,-205.54667228949745,41.45523036541047,True,2.621929452323007,0.008743427788996172,-0.18991382678515845
pydantic,2024-07-01,28aedcfbbcfe1650a9cb712aa70538c38b1e3036,False,285,83,0.7087719298245614,232.0,3.143859649122807,0.8961779448621554,0.7811810438290491,0.9045308239103722,0.9445562756605171,-170.0906345406151,-213.19573136147613,-165.2529533250219,-205.93920953808635,43.105096820861036,True,2.7540430346421134,0.005886514343010685,-0.1950499383611018
pydantic,2024-08-01,1e413857f48a807d3c81281b52c571f07c7077ee,False,296,85,0.7128378378378378,243.0,3.0405405405405403,0.8968393393393395,0.7777999510542953,0.8945101666785994,0.9362863646737872,-166.99806696281658,-207.85642582532665,-162.11276444983594,-200.5284720558557,40.85835886251007,True,2.4168159297996143,0.015656925782299158,-0.1967006237784356
pydantic,2024-09-01,ed55c372863dc40ee8021ceef71546b040346875,False,306,85,0.7222222222222222,253.0,3.0,0.9003730758824953,0.7749698657981261,0.9005138166367577,0.9380920331234807,-174.38750501874517,-212.70894625013523,-169.50220250576453,-205.38099248066428,38.321441231390054,True,2.234306805239593,0.025462808260940495,-0.18393131667875715
pydantic,2024-10-01,beda9c0257e1985d6b8df848ae87dc4427a615f1,False,307,85,0.7231270358306189,253.0,3.013029315960912,0.9000581037063122,0.777079399426581,0.8968946200643458,0.9357537352215506,-171.208221872403,-209.41560060067258,-166.32291935942234,-202.08764683120162,38.20737872826959,True,2.2566254429801402,0.024031413288742254,-0.1871961028589099
pydantic,2024-11-01,654263f5bba5f95303a5153ece685063fdd7bfd0,False,262,86,0.6717557251908397,215.0,3.33587786259542,0.873434415777246,0.8024986780712761,0.8866825180875298,0.9359225234234249,-168.2318187642589,-215.26046442667453,-163.32312417175189,-207.897422537914,47.02864566241564,True,2.3834403168322713,0.017151643957906693,-0.20637823999742275
pydantic,2024-12-01,6f31f8f68ef011f84357330186f603ff295312fd,False,260,85,0.6730769230769231,215.0,3.3615384615384616,0.8730593205421582,0.8039715609339779,0.8872871919499601,0.9362323716838472,-167.91997430705877,-214.33575275091178,-163.03467179407812,-207.00779898144083,46.415778443853014,True,2.317279300342333,0.020488471604295233,-0.2048612133569468
pydantic,2025-01-01,59b35de6564af0a971aae99807f0f562fa051e3e,False,259,85,0.6718146718146718,218.0,3.382239382239382,0.8726397630507219,0.8026863404511972,0.8855816600568086,0.9347699727840536,-166.66364209970496,-212.4286676652274,-161.77833958672431,-205.10071389575646,45.76502556552245,True,2.2633567193468314,0.023613635312686343,-0.2053449712064781
pydantic,2025-02-01,61cfdad7c80dafb3094620fd8b7610aab291f8ac,False,261,85,0.6743295019157088,221.0,3.3563218390804597,0.8742805157542994,0.8002310289349348,0.8875139701418917,0.9351751216775291,-168.2978746735889,-213.1447390145185,-163.41257216060825,-205.81678524504756,44.84686434092961,True,2.2184910018884043,0.026521281867589286,-0.20191053091089195
pydantic,2025-03-01,6558a2b1f569a25984d14d6af4b484fe27dc4d17,False,265,86,0.6754716981132075,222.0,3.309433962264151,0.8754200641122178,0.798824318832745,0.892076578811013,0.9380285893169269,-174.35070384643686,-220.05909650697643,-169.44200925392985,-212.6960546182159,45.70839266053957,True,2.1959244718626545,0.028097251154376002,-0.1971504327127332
pydantic,2025-04-01,6c38dc93f40a47f4d1350adca9ec0d72502e223f,False,266,87,0.6729323308270677,224.0,3.3157894736842106,0.8757096823691883,0.7968114166613242,0.8927652184496896,0.9395289210287678,-175.512394756266,-223.35081747580517,-170.58057851895683,-215.9530931198414,47.83842271953918,True,2.240217701853006,0.02507671065954642,-0.19999985746189647
pydantic,2025-05-01,0d33ece12cd7c03af997c2ecde6dd7718d1bd044,False,266,87,0.6729323308270677,225.0,3.338345864661654,0.8753556187766716,0.797649202358437,0.8893134370807634,0.9379944342728856,-172.21298540344876,-220.62759738944075,-167.2811691661396,-213.229873033477,48.414611985991996,True,2.2512053552894598,0.024372455847104124,-0.20469654116691405
pydantic,2025-06-01,c597a9db285b340f372869a03a8204afd9e211c8,False,266,87,0.6729323308270677,225.0,3.338345864661654,0.8753556187766716,0.797649202358437,0.8893134370807634,0.9379944342728856,-172.21298540344876,-220.62759738944075,-167.2811691661396,-213.229873033477,48.414611985991996,True,2.2512053552894598,0.024372455847104124,-0.20469654116691405
pydantic,2025-07-01,568509c04355c0fa518d9c657a078eb8a595d3f5,False,267,87,0.6741573033707865,226.0,3.337078651685393,0.876127063392981,0.797092587513724,0.8898716598348941,0.9384300245013597,-172.41035208583975,-220.99842247869992,-167.47853584853058,-213.60069812273616,48.588070392860175,True,2.2593278710093503,0.02386292266731349,-0.2047236826123046
pydantic,2025-08-01,9b52422377d974ffc3de4e8b0bf7faab1acf2ec4,False,270,87,0.6777777777777778,227.0,3.3074074074074074,0.877719712994069,0.7965375313034451,0.8902813905154441,0.9386207423787303,-172.6010523433565,-221.13474468018077,-167.66923610604735,-213.737020324217,48.53369233682426,True,2.2639561451238777,0.023576739278542647,-0.20441835658497173
pydantic,2025-09-01,62d70d1632c121c7d10095abf9174f660b0f5860,False,270,87,0.6777777777777778,227.0,3.3074074074074074,0.877719712994069,0.7965375313034451,0.8902813905154441,0.9386207423787303,-172.6010523433565,-221.13474468018077,-167.66923610604735,-213.737020324217,48.53369233682426,True,2.2639561451238777,0.023576739278542647,-0.20441835658497173
pydantic,2025-10-01,b94cfdfbcc705cbd9512e2b21ff2f36ecec14afb,False,270,87,0.6777777777777778,227.0,3.3074074074074074,0.8778524324996888,0.7963463514576222,0.8910989537236007,0.9390884909562789,-173.2592341800076,-221.80775651042316,-168.32741794269845,-214.4100321544594,48.54852233041555,True,2.2701019297752683,0.023201328861020443,-0.20366860905313022
pydantic,2025-11-01,de79df29547cede38415b0ae6c4d45fd0a9cab4e,False,270,87,0.6777777777777778,227.0,3.325925925925926,0.8781242266765652,0.7966978663700527,0.8916938165508699,0.940422263549521,-173.1561559077502,-223.154341410488,-168.22433967044103,-215.75661705452424,49.99818550273781,True,2.31331252850747,0.020705410112769274,-0.2059153770203715
pydantic,2025-12-01,9a726bad86f8c3c340fbbc852133a5b6d946dde3,False,396,94,0.7626262626262627,231.0,2.4545454545454546,0.9150039489545663,0.7922029087994112,0.9034987547840397,0.9511275650231946,-189.89887209308156,-251.8510554757156,-184.81228252854154,-244.2211711289056,61.95218338263405,True,3.135850723754598,0.00171369779792796,-0.20889089234944108
pydantic,2026-01-01,be5c601f6a8a3c82de623f1f8a120d71244c208e,False,398,94,0.7638190954773869,232.0,2.4522613065326633,0.9154223988796442,0.7922400107206637,0.9030363174889009,0.9509407409222981,-189.345062362759,-251.38797346712477,-184.25847279821897,-243.75808912031476,62.04291110436577,True,3.1359800682840233,0.0017129422273967077,-0.20961082086177635
pydantic,2026-02-01,08b64f7a43f96f02bb0af8d46aba67b3a68d6e88,False,398,94,0.7638190954773869,232.0,2.459798994974874,0.9153710328968643,0.7926795514937895,0.9021812403430499,0.950742547176669,-188.21314748337886,-250.7023825915835,-183.12655791883884,-243.0724982447735,62.48923510820464,True,3.155329168071572,0.001603303512919485,-0.21138752695777435
pydantic,2026-03-01,2c51321d984da66b73a48bbf482a6221c4c592b2,False,401,94,0.7655860349127181,237.0,2.453865336658354,0.9164183038339111,0.7902528844022277,0.9024283794333411,0.9504233594924503,-188.32499675480588,-249.96928657303164,-183.23840719026586,-242.33940222622164,61.64428981822576,True,3.075613117774317,0.0021008394509463013,-0.21029212967680488
pydantic,2026-04-01,5582178e0bf776e747cda652045a670285614aeb,True,403,94,0.7667493796526055,239.0,2.4516129032258065,0.9166725268984641,0.7901282075939041,0.9043262805235927,0.951242013885536,-191.27314426842813,-252.636160931944,-186.1865547038881,-245.006276585134,61.36301666351588,True,2.9952652166766454,0.0027422013960562985,-0.20669946297502118
pydantic,2026-05-01,8eae4ba948a09b8011e79c10f82d056eac0b7f2d,True,402,94,0.7661691542288557,240.0,2.45771144278607,0.9163947469132072,0.7899352637349849,0.9035888558328278,0.9507807543233985,-190.6296286956369,-251.82931412372977,-185.5430391310969,-244.19942977691977,61.19968542809286,True,2.9616487793503854,0.0030601036545769844,-0.20722068227945356
