repo,group,error,remote_url,commits,shallow,first_commit_date,snapshot_date,last_commit_date,adoption_date_at_snapshot,attributed_at_snapshot,attributed_all_refs
aiohttp,baseline,,https://github.com/aio-libs/aiohttp,14164,False,2013-10-01,2026-05-18,2026-09-22,2026-05-16,1,3
celery,baseline,,https://github.com/celery/celery,13332,False,2009-04-24,2026-05-13,2026-09-23,2025-05-09,8,9
click,baseline,,https://github.com/pallets/click,3374,False,2014-04-24,2026-05-18,2026-09-21,,0,0
django,baseline,,https://github.com/django/django,34948,False,2005-07-13,2026-05-11,2026-09-20,2026-03-05,0,0
fastapi,baseline,,https://github.com/tiangolo/fastapi,7713,False,2018-12-05,2026-05-18,2026-09-01,2026-02-17,2,3
flask,baseline,,https://github.com/pallets/flask,5557,False,2010-04-06,2026-05-18,2026-09-08,,0,0
httpx,baseline,,https://github.com/encode/httpx,1523,False,2019-04-04,2026-02-23,2026-02-23,,0,0
numpy,baseline,,https://github.com/numpy/numpy,42167,False,2001-12-18,2026-05-19,2026-09-22,2025-10-10,12,24
pandas,baseline,,https://github.com/pandas-dev/pandas,39081,False,2009-07-31,2026-05-18,2026-09-23,2025-12-14,386,1067
pydantic,baseline,,https://github.com/pydantic/pydantic,5746,False,2017-05-03,2026-05-16,2026-09-18,2026-03-08,1,4
pytest,baseline,,https://github.com/pytest-dev/pytest,17781,False,2007-01-24,2026-05-18,2026-09-21,2026-01-17,9,132
requests,baseline,,https://github.com/psf/requests,6495,False,2011-02-13,2026-05-18,2026-09-21,2026-03-02,1,1
scrapy,baseline,,https://github.com/scrapy/scrapy,11511,False,2009-05-04,2026-05-18,2026-09-22,2026-02-20,1,5
sqlalchemy,baseline,,https://github.com/sqlalchemy/sqlalchemy,18324,False,2005-07-01,2026-05-18,2026-09-21,,0,0
tornado,baseline,,https://github.com/tornadoweb/tornado,5133,False,2009-09-08,2026-05-12,2026-09-22,,0,33
agentic-sprint,agentic,,https://github.com/damienlaine/agentic-sprint,6,False,2025-11-27,2025-12-23,2025-12-23,2025-11-27,1,1
borrowhood,agentic,UNREADABLE_HISTORY,https://github.com/akenel/borrowhood,-1,True,,,,,0,0
camp2025-stock,agentic,,https://github.com/sitcon-tw/camp2025-stock,868,False,2025-05-17,2025-12-12,2025-12-12,2025-06-07,3,3
claude-cli-rest-api,agentic,,https://github.com/triepod-ai/claude-cli-rest-api,1,False,2025-09-30,2025-09-30,2025-09-30,2025-09-30,1,1
CLI-Anything-WEB,agentic,UNREADABLE_HISTORY,https://github.com/ItamarZand88/CLI-Anything-WEB,-1,True,,,,,0,0
codebase-mcp,agentic,,https://github.com/danyQe/codebase-mcp,6,False,2025-10-07,2025-10-07,2025-10-07,,0,0
dark-factory-experiment,agentic,,https://github.com/coleam00/dark-factory-experiment,184,False,2026-04-02,2026-05-19,2026-08-13,2026-04-14,99,103
deepseek_ocr_app,agentic,,https://github.com/rdumasia303/deepseek_ocr_app,18,False,2025-10-21,2026-03-31,2026-03-31,2026-03-31,1,1
django-bolt,agentic,,https://github.com/dj-bolt/django-bolt,908,False,2025-09-19,2026-05-03,2026-09-22,2025-09-19,9,9
fqf,agentic,,https://github.com/marvingreenberg/fqf,151,False,2026-03-27,2026-04-14,2026-04-14,2026-03-27,76,76
Hackathon-II_The-Evolution-of-Todo,agentic,,https://github.com/NaimalArain13/Hackathon-II_The-Evolution-of-Todo,25,False,2025-12-04,2026-02-03,2026-02-03,2025-12-04,5,5
J.A.R.V.I.S,agentic,,https://github.com/Shrivaujjawal321/J.A.R.V.I.S,1,True,2026-05-15,2026-05-15,2026-05-15,2026-05-15,1,1
lazy-bird,agentic,,https://github.com/yusufkaraaslan/lazy-bird,164,False,2025-11-01,2026-03-30,2026-03-30,2025-11-01,126,126
loki-mode,agentic,UNREADABLE_HISTORY,https://github.com/asklokesh/loki-mode,-1,True,,,,,0,0
marsa-planner,agentic,UNREADABLE_HISTORY,https://github.com/elsheraey/marsa-planner,-1,True,,,,,0,0
NewsCrawler,agentic,,https://github.com/NanmiCoder/NewsCrawler,76,False,2024-11-07,2026-04-03,2026-08-08,2025-10-15,19,19
OneResearchClaw,agentic,UNREADABLE_HISTORY,https://github.com/gaotiexinqu/OneResearchClaw,-1,True,,,,,0,0
openclaude,agentic,,https://github.com/is0383kk/openclaude,67,False,2026-03-11,2026-05-03,2026-05-03,2026-03-18,5,5
ott-platform,agentic,,https://github.com/stefanros481/ott-platform,67,False,2026-02-08,2026-03-16,2026-03-16,2026-02-08,41,41
poc-machine-law,agentic,,https://github.com/MinBZK/poc-machine-law,769,False,2025-01-18,2026-04-24,2026-09-18,2025-02-24,84,88
tradinggame,agentic,,https://github.com/SteppieD/tradinggame,13,False,2025-08-12,2025-08-14,2025-08-14,2025-08-12,7,7
zhang2025,agentic,,https://github.com/jandrews65/zhang2025,17,False,2026-02-21,2026-03-01,2026-03-01,2026-02-21,0,0
