repo,group,n_files,n_files_pos_fanin,frac_leaves,max_fanin,mean_fanin,gini,entropy_norm,r2_powerlaw,r2_lognormal,aic_powerlaw,aic_lognormal,bic_powerlaw,bic_lognormal,delta_aic,lognormal_wins,vuong_z,vuong_p,lognormal_coeff_c
borrowhood,agentic,275,125,0.5454545454545454,128.0,4.527272727272727,0.8540051113545089,0.7960138104512385,0.9332431010519351,0.9650573757045153,-289.1739685378113,-368.092748093217,-283.5173410632067,-359.60780688131007,78.9187795554057,True,4.026015028654055,5.675763686285862e-05,-0.16720176070324963
CLI-Anything-WEB,agentic,453,188,0.5849889624724062,10.0,0.9514348785871964,0.7509411348934405,0.9454527647887669,0.8583330994578164,0.90762221162288,-498.30162979533577,-576.6889195747592,-491.82874586967586,-566.9795936862694,78.38728977942344,True,3.2376518526730735,0.0012053021279168075,-0.11215932024324579
codebase-mcp,agentic,51,47,0.0784313725490196,10.0,2.176470588235294,0.4603426956368133,0.9138419931182091,0.9301413116766056,0.9346848328789014,-156.79930012803868,-157.9600588598037,-153.09900492461855,-152.4096160546735,1.1607587317650143,False,0.6681421522229192,0.5040427155424196,-0.0465830485260994
django-bolt,agentic,292,101,0.6541095890410958,27.0,1.0342465753424657,0.7889413045450422,0.9293811749414082,0.9141367136453252,0.919374753224349,-332.62751979475877,-336.9849144869987,-327.3972787610762,-329.13955293647496,4.35739469223995,True,1.4543295112970374,0.14585505169059942,-0.038265782431058604
fqf,agentic,36,17,0.5277777777777778,9.0,1.5277777777777777,0.7045454545454546,0.9177777901224171,0.8587828591814007,0.9369326704480283,-40.52755135749459,-52.2311805153178,-38.86112466938216,-49.73154048314915,11.703629157823215,True,3.100847483649719,0.0019298125408488964,-0.3067622698766659
lazy-bird,agentic,136,49,0.6397058823529411,32.0,2.485294117647059,0.8339279498781762,0.8738533870939497,0.8630813741792049,0.9758242878228068,-85.72169751179045,-168.68957308814893,-81.9380569155692,-163.01411219381706,82.96787557635848,True,7.472137505905584,7.949196856316121e-14,-0.36225392186134103
loki-mode,agentic,531,83,0.8436911487758946,38.0,0.5499058380414312,0.9220906534581947,0.8872771717078295,0.9334449079663002,0.9573147803451298,-249.5941447748796,-284.46086398732496,-244.7564635592864,-277.20434216393517,34.86671921244536,True,4.188912250135815,2.8046740328191433e-05,-0.11174911044615235
marsa-planner,agentic,37,15,0.5945945945945946,7.0,1.162162162162162,0.7052168447517286,0.9504846485808053,0.7956325264415661,0.8441051972349876,-38.939375600951585,-41.00044973815062,-37.523275198747164,-38.87629913484399,2.0610741371990358,True,1.2868038600322413,0.1981627918949176,-0.18992417241468953
NewsCrawler,agentic,121,74,0.3884297520661157,18.0,1.2644628099173554,0.6517582239507373,0.8875888547423992,0.8829510295293169,0.9164245296425009,-218.93683258414302,-241.86316559568672,-214.32870239773467,-234.9509703160742,22.926333011543704,True,3.2434646464713075,0.0011809782939820046,0.10499289555678826
openclaude,agentic,21,18,0.14285714285714285,30.0,4.0476190476190474,0.6252100840336134,0.7576179754464446,0.8685569260959898,0.9053651039807438,-36.20969113089387,-40.12354742840236,-34.42894761510154,-37.45243215471387,3.913856297508488,True,2.0211488588233575,0.0432642193503614,0.25708874332622833
poc-machine-law,agentic,286,222,0.22377622377622378,103.0,2.695804195804196,0.5811587893299954,0.8778797297268132,0.897369848769999,0.899688980689714,-682.6986189984444,-685.7726973423041,-675.8932642346999,-675.5646651966873,3.0740783438596964,True,0.5192201961607869,0.6036071633786579,0.02250683581664159
zhang2025,agentic,50,14,0.72,10.0,1.04,0.8261538461538462,0.9059141735743809,0.8660758874768271,0.9195347043841794,-33.36260374459026,-38.49486642000059,-32.08448908535974,-36.57769443115482,5.132262675410331,True,1.9778242205020538,0.04794839979642562,-0.28200656149804043
aiohttp,baseline,164,53,0.676829268292683,112.0,3.7560975609756095,0.8461553690212227,0.8624164045888361,0.8962350044604209,0.936613549175771,-122.77568928792168,-146.8982526909335,-118.83510546081743,-140.98737695027714,24.122563403011824,True,3.9162842995410325,8.996100731772927e-05,-0.18360865631728915
